pl_name,disposition,pl_orbper,pl_tranmid,pl_trandur,pl_rade,pl_radj,pl_radjerr1,pl_radjerr2,pl_ratror,st_rad,st_raderr1,st_raderr2,sy_dist,sy_disterr1,sy_disterr2,sy_plx,sy_plxerr1,sy_plxerr2
EPIC 201111557.01,CANDIDATE,2.30183,2457583.169,1.9008,1.12,0.0999,0.0098,-0.007,0.0144,0.762602,0.053651,-0.037585,97.1795,0.4642,-0.4598,10.2616,0.048551,-0.048551
EPIC 201126503.01,CANDIDATE,1.1947488,2456810.382,1.93,4.19,0.37380676,,,0.06005,0.57,,,290.062,18.356,-16.325,3.4345,0.200346,-0.200346
EPIC 201127519.01,CANDIDATE,6.17887,2457585.547,2.5008,8.84,0.789,0.012,-0.012,0.1058,0.849432,0.053904,-0.052076,117.704,0.778,-0.767,8.46751,0.0553409,-0.0553409
EPIC 201147085.01,CANDIDATE,1.17589,2456810.741,1.248,0.86,0.077,0.016,-0.023,0.0254,0.309,0.057,-0.07,166.5844,,,,,
EPIC 201152065.01,CANDIDATE,10.6966,2456817.315,3.24,1.45,0.129,0.016,-0.032,0.0226,0.588,0.041,-0.015,212.291,1.408,-1.39,4.68183,0.0308071,-0.0308071
EPIC 201160662.01,CANDIDATE,1.5374115,2456810.497,2.3808,45.0,4.0,1.1,-1.5,0.259,1.599,0.047,-0.044,666.23,22.917,-21.467,1.47286,0.0495985,-0.0495985
EPIC 201164625.01,CANDIDATE,2.71189,2457583.136,3.1008,4.34,0.387,0.038,-0.031,0.0121,3.16745,0.174094,-0.203167,1032.42,45.09,-41.543,0.939386,0.0403492,-0.0403492
EPIC 201176672.01,CANDIDATE,79.9999,2456877.805,11.7504,10.2,0.91,0.19,-0.19,0.18,0.508,0.098,-0.098,333.46,7.579,-7.255,2.97164,0.0661661,-0.0661661
EPIC 201180665.01,CANDIDATE,17.77297,2457586.499,2.8992,26.44,2.359,0.058,-0.058,0.1892,1.25428,0.066004,-0.055051,601.265,9.088,-8.827,1.63444,0.0245882,-0.0245882
EPIC 201182911.01,CANDIDATE,0.99656225,2456811.09,2.26,32.8,2.92622,,,0.6256,0.5,,,335.632,6.7025,-6.7025,2.95191,0.0590277,-0.0590277
EPIC 201197348.01,CANDIDATE,14.912381,2456825.111,3.03,3.55,0.31670979,,,0.04445,0.65,,,360.103,5.725,-5.552,2.7488,0.0431477,-0.0431477
EPIC 201197348.01,CANDIDATE,14.9139,2456825.111,3.264,3.24,0.289,0.029,-0.05,0.046,0.647,0.038,-0.024,360.103,5.725,-5.552,2.7488,0.0431477,-0.0431477
EPIC 201231940.01,CANDIDATE,0.57303573,2456810.511,0.32,3.35,0.29886698,,,0.09028,0.43,,,1138.64,340.67,-221.637,0.824115,0.199637,-0.199637
EPIC 201238110 b,CONFIRMED,28.1696,2456824.484,3.36,2.2,0.2,0.048,-0.03,0.054,0.374,0.089,-0.035,159.259,1.414,-1.39,6.25088,0.0548541,-0.0548541
EPIC 201238110.01,CANDIDATE,7.9069606,2456813.675,1.73,3.02,0.26942635,,,0.04848,0.52,,,159.259,1.414,-1.39,6.25088,0.0548541,-0.0548541
EPIC 201238110.01,CANDIDATE,7.90417,2456813.69,1.92,2.06,0.184,0.047,-0.05,0.0505,0.374,0.089,-0.035,159.259,1.414,-1.39,6.25088,0.0548541,-0.0548541
EPIC 201238163.01,CANDIDATE,1.0829614,2456810.366,1.22,1.56,0.13917388,,,0.02378,0.56,,,299.406,4.528,-4.398,3.31192,0.0493972,-0.0493972
EPIC 201239401.01,CANDIDATE,0.90552205,2456810.944,1.32,1.52,0.13560532,,,0.02628,0.5,,,190.075,1.555,-1.555,5.23261,0.0427105,-0.0427105
EPIC 201239401.01,CANDIDATE,0.905655,2456810.937,1.488,1.57,0.14,0.014,-0.023,0.025,0.576,0.04,-0.028,190.075,1.555,-1.555,5.23261,0.0427105,-0.0427105
EPIC 201247497.01,CANDIDATE,2.75421,2456810.9,1.32,8.4,0.75,0.11,-0.61,0.087,0.89,0.063,-0.01,793.131,108.24,-85.595,1.23644,0.145193,-0.145193
EPIC 201247497.01,CANDIDATE,2.75391,2456810.903,1.0296,3.78,0.337,0.061,-0.061,0.079,0.436,0.027,-0.027,793.131,108.24,-85.595,1.23644,0.145193,-0.145193
EPIC 201247497.01,CANDIDATE,2.7541129,2456810.901,1.24,4.87,0.4344723,,,0.07842,0.55,,,793.131,108.24,-85.595,1.23644,0.145193,-0.145193
EPIC 201257461.01,FALSE POSITIVE,50.285869,2456828.355,12.62,3.47,0.30957266,,,0.05345,0.74,,,829.248,29.0795,-29.0795,1.1772,0.0419644,-0.0419644
EPIC 201258341.01,CANDIDATE,10.50439,2456818.919,3.384,1.75,0.156,0.013,-0.038,0.0183,0.878,0.018,-0.02,84.947,0.3721,-0.369,11.7435,0.0509724,-0.0509724
EPIC 201259803.01,CANDIDATE,1.684208,2456810.893,1.3224,5.51,0.492,0.06,-0.08,0.1173,0.431,0.051,-0.069,325.636,9.1805,-9.1805,3.0449,0.085851,-0.085851
EPIC 201264302.01,CANDIDATE,0.21219899,2456810.278,0.52,1.05,0.09367473,,,0.02488,0.37,,,71.8937,0.2492,-0.2475,13.8807,0.04769,-0.04769
EPIC 201264302.01,CANDIDATE,0.2122013,2456810.49,0.624,0.519,0.0463,0.0041,-0.011,0.0253,0.188,0.01,-0.004,71.8937,0.2492,-0.2475,13.8807,0.04769,-0.04769
EPIC 201270176.01,CANDIDATE,1.5778643,2456810.434,3.02,7.55,0.67356588,,,0.115,0.73,,,290.883,4.203,-4.086,3.40971,0.0486082,-0.0486082
