kepid,koi_disposition,koi_period,koi_time0bk,koi_time0,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_incl,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_ldm_coeff2,koi_ldm_coeff1,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_bin_oedp_sig,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_fwm_stat_sig
10797460,CONFIRMED,9.48803557,170.53875,2455003.539,0.146,0.318,-0.146,2.9575,0.0819,-0.0819,616.0,19.5,-19.5,0.022344,0.000832,-0.000528,3.20796,0.33173,-1.09986,2.26,0.26,-0.15,0.0853,89.66,793.0,93.59,29.45,-16.65,24.81,2.6,-2.6,0.2291,0.4603,5.135849,28.47082,35.8,2,142.0,0.6864,5455.0,81.0,-81.0,4.467,0.064,-0.096,0.927,0.105,-0.061,0.919,0.052,-0.046,0.002
10797460,CONFIRMED,54.4183827,162.51384,2454995.514,0.586,0.059,-0.443,4.507,0.116,-0.116,875.0,35.5,-35.5,0.027954,0.00908,-0.00135,3.02368,2.20489,-2.49638,2.83,0.32,-0.19,0.2734,89.57,443.0,9.11,2.87,-1.62,77.9,28.4,-28.4,0.2291,0.4603,7.027669,20.109507,25.8,2,25.0,0.0023,5455.0,81.0,-81.0,4.467,0.064,-0.096,0.927,0.105,-0.061,0.919,0.052,-0.046,0.003
10811496,CANDIDATE,19.89913995,175.850252,2455008.85,0.969,5.126,-0.077,1.7822,0.0341,-0.0341,10800.0,171.0,-171.0,0.154046,5.03,-0.0422,7.29555,35.03293,-2.75453,14.6,3.92,-1.31,0.1419,88.96,638.0,39.3,31.04,-10.49,53.5,25.7,-25.7,0.2711,0.3858,37.159767,187.4491,76.3,1,56.0,0.6624,5853.0,158.0,-176.0,4.544,0.044,-0.176,0.868,0.233,-0.078,0.961,0.11,-0.121,0.278
10848459,FALSE POSITIVE,1.736952453,170.307565,2455003.308,1.276,0.115,-0.092,2.40641,0.00537,-0.00537,8080.0,12.8,-12.8,0.387394,0.109,-0.085,0.2208,0.00917,-0.01837,33.46,8.5,-2.83,0.0267,67.09,1395.0,891.96,668.95,-230.35,3.278,0.136,-0.136,0.2865,0.3556,39.06655,541.8951,505.6,1,621.0,0.0,5805.0,157.0,-174.0,4.564,0.053,-0.168,0.791,0.201,-0.067,0.836,0.093,-0.077,0.0
10854555,CONFIRMED,2.525591777,171.59555,2455004.596,0.701,0.235,-0.478,1.6545,0.042,-0.042,603.0,16.9,-16.9,0.024064,0.00375,-0.00152,1.98635,2.71141,-1.74541,2.75,0.88,-0.35,0.0374,85.41,1406.0,926.16,874.33,-314.24,8.75,4.0,-4.0,0.2844,0.3661,4.749945,33.1919,40.9,1,515.0,0.309,6031.0,169.0,-211.0,4.438,0.07,-0.21,1.046,0.334,-0.133,1.095,0.151,-0.136,0.733
10872983,CONFIRMED,11.09432054,171.20116,2455004.201,0.538,0.03,-0.428,4.5945,0.061,-0.061,1520.0,24.2,-24.2,0.036779,0.00512,-0.00107,0.67324,0.33286,-0.38858,3.9,1.27,-0.42,0.0992,88.11,835.0,114.81,112.85,-36.7,16.36,8.1,-8.1,0.2889,0.3511,9.046456,55.204865,66.5,3,95.0,0.0975,6046.0,189.0,-232.0,4.486,0.054,-0.229,0.972,0.315,-0.105,1.053,0.135,-0.15,
10872983,CONFIRMED,4.13443512,172.97937,2455005.979,0.762,0.139,-0.532,3.1402,0.0673,-0.0673,686.0,18.7,-18.7,0.026133,0.00197,-0.00206,0.37377,0.74768,-0.26357,2.77,0.9,-0.3,0.0514,83.72,1160.0,427.65,420.33,-136.7,6.96,2.8,-2.8,0.2889,0.3511,5.500643,33.546658,40.2,3,240.0,0.546,6046.0,189.0,-232.0,4.486,0.054,-0.229,0.972,0.315,-0.105,1.053,0.135,-0.15,
10872983,CONFIRMED,2.56658897,179.55437,2455012.554,0.755,0.212,-0.523,2.429,0.165,-0.165,227.0,16.8,-16.8,0.014983,0.00394,-0.00142,0.48909,0.95593,-0.45121,1.59,0.52,-0.17,0.0374,82.17,1360.0,807.74,793.91,-258.2,5.54,2.7,-2.7,0.2889,0.3511,4.3886313,12.325094,15.0,3,355.0,0.4352,6046.0,189.0,-232.0,4.486,0.054,-0.229,0.972,0.315,-0.105,1.053,0.135,-0.15,
6721123,FALSE POSITIVE,7.36178958,132.25053,2454965.251,1.169,7.133,-0.044,5.022,0.136,-0.136,234.0,5.8,-5.8,0.183387,7.13,-0.0431,0.00485,0.27864,-0.00053,39.21,6.45,-9.67,0.082,60.92,1342.0,767.22,349.28,-365.49,2.4,1.2,-1.2,0.305,0.3201,10.964684,46.15308,47.7,1,185.0,0.7213,6227.0,111.0,-124.0,3.986,0.182,-0.098,1.958,0.322,-0.483,1.358,0.121,-0.207,0.0
10910878,CONFIRMED,16.06864674,173.621937,2455006.622,0.052,0.262,-0.052,3.5347,0.0241,-0.0241,4910.0,33.3,-33.3,0.062161,0.000913,-0.000428,3.6659,0.11507,-0.51226,5.76,0.22,-0.49,0.1158,89.92,600.0,30.75,4.46,-6.66,36.85,1.2,-1.2,0.1451,0.582,20.457163,137.44981,161.9,3,69.0,0.1819,5031.0,75.0,-83.0,4.485,0.083,-0.028,0.848,0.033,-0.072,0.801,0.052,-0.03,0.063
11446443,CONFIRMED,2.470613377,122.763305,2454955.763,0.818,0.001,-0.001,1.74319,0.00107,-0.00107,14200.0,4.2,-4.2,0.123871,5.1e-05,-7.1e-05,1.83538,0.00587,-0.00846,13.04,0.51,-0.51,0.0354,84.41,1339.0,761.46,106.21,-95.76,8.3977,0.0269,-0.0269,0.2676,0.3928,544.1701,6468.04,4304.3,1,432.0,0.1522,5820.0,78.0,-78.0,4.457,0.024,-0.024,0.964,0.038,-0.038,0.971,0.062,-0.056,0.0
