label,orbital_period,transit_duration,transit_duration_err1,transit_duration_err2,transit_depth,transit_depth_err1,transit_depth_err2,planet_radius,planet_radius_err1,planet_radius_err2,equi_temp,stellar_temp,stellar_temp_err1,stellar_temp_err2,stellar_radius,stellar_radius_err1,stellar_radius_err2
1.0,9.48803557,2.9575,0.0819,-0.0819,616.0,19.5,-19.5,2.26,0.26,-0.15,793.0,5455.0,81.0,-81.0,0.927,0.105,-0.061
1.0,54.4183827,4.507,0.116,-0.116,875.0,35.5,-35.5,2.83,0.32,-0.19,443.0,5455.0,81.0,-81.0,0.927,0.105,-0.061
0.0,1.736952453,2.40641,0.00537,-0.00537,8080.0,12.8,-12.8,33.46,8.5,-2.83,1395.0,5805.0,157.0,-174.0,0.791,0.201,-0.067
1.0,2.525591777,1.6545,0.042,-0.042,603.0,16.9,-16.9,2.75,0.88,-0.35,1406.0,6031.0,169.0,-211.0,1.046,0.334,-0.133
1.0,11.09432054,4.5945,0.061,-0.061,1520.0,24.2,-24.2,3.9,1.27,-0.42,835.0,6046.0,189.0,-232.0,0.972,0.315,-0.105
1.0,4.13443512,3.1402,0.0673,-0.0673,686.0,18.7,-18.7,2.77,0.9,-0.3,1160.0,6046.0,189.0,-232.0,0.972,0.315,-0.105
1.0,2.56658897,2.429,0.165,-0.165,227.0,16.8,-16.8,1.59,0.52,-0.17,1360.0,6046.0,189.0,-232.0,0.972,0.315,-0.105
0.0,7.36178958,5.022,0.136,-0.136,234.0,5.8,-5.8,39.21,6.45,-9.67,1342.0,6227.0,111.0,-124.0,1.958,0.322,-0.483
1.0,16.06864674,3.5347,0.0241,-0.0241,4910.0,33.3,-33.3,5.76,0.22,-0.49,600.0,5031.0,75.0,-83.0,0.848,0.033,-0.072
1.0,2.470613377,1.74319,0.00107,-0.00107,14200.0,4.2,-4.2,13.04,0.51,-0.51,1339.0,5820.0,78.0,-78.0,0.964,0.038,-0.038
1.0,2.204735417,3.88864,0.00203,-0.00203,6670.0,1.7,-1.7,16.1,0.81,-0.91,2048.0,6440.0,76.0,-89.0,1.952,0.099,-0.11
1.0,3.522498429,3.19843,0.00653,-0.00653,9150.0,6.6,-6.6,14.59,1.11,-1.11,1521.0,6225.0,112.0,-137.0,1.451,0.11,-0.11
1.0,3.709214104,2.6302,0.0427,-0.0427,131.0,3.0,-3.0,1.16,0.17,-0.12,1206.0,5833.0,105.0,-117.0,1.022,0.143,-0.107
0.0,11.52144606,3.6399,0.0114,-0.0114,18000.0,31.9,-31.9,150.51,39.8,-13.3,753.0,5795.0,155.0,-172.0,0.848,0.224,-0.075
0.0,19.40393776,12.2155,0.0598,-0.0598,8920.0,53.3,-53.3,7.18,0.76,-0.68,523.0,5043.0,151.0,-151.0,0.68,0.072,-0.065
0.0,19.22138894,4.79843,0.00235,-0.00235,74300.0,21.9,-21.9,49.29,16.0,-5.0,698.0,6117.0,182.0,-200.0,0.947,0.308,-0.096
0.0,16.46983774,9.4378,0.06,-0.06,10500.0,39.9,-39.9,7.94,0.89,-0.89,595.0,5152.0,168.0,-153.0,0.786,0.088,-0.088
1.0,9.27358173,3.2875,0.0309,-0.0309,1290.0,16.8,-16.8,2.47,0.2,-0.24,649.0,4856.0,131.0,-146.0,0.696,0.056,-0.068
1.0,6.02930329,1.5821,0.0311,-0.0311,1910.0,34.4,-34.4,2.85,0.26,-0.15,678.0,4537.0,123.0,-123.0,0.672,0.062,-0.036
0.0,2.696370652,3.6129,0.0686,-0.0686,398.0,9.5,-9.5,1.58,0.13,-0.16,1066.0,4989.0,149.0,-149.0,0.819,0.067,-0.082
1.0,5.349553819,3.0278,0.0471,-0.0471,831.0,14.8,-14.8,2.55,0.16,-0.24,919.0,5185.0,85.0,-77.0,0.91,0.057,-0.086
1.0,3.94105221,2.5984,0.0737,-0.0737,363.0,13.9,-13.9,1.7,0.11,-0.16,1018.0,5185.0,85.0,-77.0,0.91,0.057,-0.086
1.0,8.10904807,3.596,0.198,-0.198,217.0,16.8,-16.8,1.3,0.09,-0.12,800.0,5185.0,85.0,-77.0,0.91,0.057,-0.086
