toi,tfopwg_disp,st_pmra,st_pmraerr1,st_pmraerr2,st_pmdec,st_pmdecerr1,st_pmdecerr2,pl_tranmid,pl_orbper,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_rade,pl_insol,pl_eqt,st_tmag,st_tmagerr1,st_tmagerr2,st_dist,st_disterr1,st_disterr2,st_teff,st_tefferr1,st_tefferr2,st_logg,st_rad
1000.01,FP,-5.964,0.085,-0.085,-0.076,0.072,-0.072,2459229.63,2.1713484,2.0172196,0.3195879,-0.3195879,656.8860989,37.77821,-37.77821,5.8181633,22601.94858,3127.204052,9.604,0.013,-0.013,485.735,11.9515,-11.9515,10249.0,264.7,-264.7,4.19,2.16986
1001.01,PC,-4.956,0.102,-0.102,-15.555,0.072,-0.072,2459987.949,1.9316462,3.166,0.647,-0.647,1286.0,1186.49,-1186.49,11.2154,44464.5,4045.0,9.42344,0.006,-0.006,295.862,5.91,-5.91,7070.0,126.4,-126.4,4.03,2.01
1002.01,FP,-1.462,0.206,-0.206,-2.249,0.206,-0.206,2459224.688,1.8675574,1.408,0.184,-0.184,1500.0,1.7584,-1.7584,23.7529,2860.61,2037.0,9.299501,0.058,-0.058,943.109,106.333,-106.333,8924.0,124.0,-124.0,,5.73
1003.01,FP,-0.939,0.041,-0.041,1.64,0.055,-0.055,2458493.396,2.74323,3.167,0.642,-0.642,383.41,0.781988,-0.781988,,1177.36,1631.0,9.3003,0.037,-0.037,7728.17,1899.57,-1899.57,5388.5,567.0,-567.0,4.15,
1004.01,FP,-4.496,0.069,-0.069,9.347,0.062,-0.062,2459987.047,3.5730141,3.37,1.029,-1.029,755.0,1306.55,-1306.55,11.3113,54679.3,4260.0,9.1355,0.006,-0.006,356.437,4.6175,-4.6175,9219.0,171.1,-171.1,4.14,2.15
1005.01,FP,-26.932,1.935,-1.935,-2.901,2.06,-2.06,2459985.157,4.5505945,2.654,0.339,-0.339,3731.0,123.723,-123.723,7.10841,414.775,1257.0,9.1309,0.006,-0.006,100.711,14.121,-14.121,5613.0,179.9,-179.9,,1.09
1006.01,FP,-29.1,2.6,-2.6,-6.8,2.2,-2.2,2459229.985,2.5047918,4.3797563,0.1036554,-0.1036554,2270.540219,81.38088,-81.38088,8.6950898,1750.932635,1649.82207,9.2386,0.006,-0.006,,,,6616.0,200.0,-200.0,,1.53429
1007.01,PC,0.357,0.058,-0.058,3.399,0.045,-0.045,2459247.931,6.9989206,3.953,0.437,-0.437,2840.0,0.943618,-0.943618,14.7752,448.744,1282.0,8.87759,0.006,-0.006,283.291,3.0025,-3.0025,6596.0,139.2,-139.2,3.71,2.7
1008.01,FP,-17.9,1.1,-1.1,1.3,1.0,-1.0,2460258.236,2.0483755,2.767,0.861,-0.861,483.0,41.94,-41.94,3.19621,5644.4,,8.9362,0.012,-0.012,144.297,,,6858.5,584.6,-584.6,4.2,1.57
1009.01,PC,-3.297,0.319,-0.319,4.849,0.358,-0.358,2459229.231,1.9600277,2.0065257,0.050591,-0.050591,1707.627269,49.601223,-49.601223,,1063.342296,1456.424653,8.4331,0.028,-0.028,866.147,172.097,-172.097,8868.7,809.8,-809.8,,
101.01,KP,12.641,0.044,-0.044,-16.011,0.041,-0.041,2458326.009,1.4303699,1.6165994,0.0192089,-0.0192089,18960.71229,184.79134,-184.79134,13.1874503,1281.240825,1525.904809,12.4069,0.006,-0.006,375.31,4.411,-4.411,5600.0,,,4.48851,0.890774
1010.01,FP,-5.746,0.176,-0.176,4.502,0.261,-0.261,2459228.878,0.6808702,2.4634563,0.0557065,-0.0557065,1507.800689,39.971123,-39.971123,5.9115908,87140.69959,4382.026606,8.45086,0.006,-0.006,485.122,36.246,-36.246,9438.0,782.0,-782.0,,1.0
1011.01,PC,145.102,0.046,-0.046,-134.901,0.052,-0.052,2459984.628,2.4704981,2.191,0.482,-0.482,250.0,18.1279,-18.1279,1.44656,575.597,1364.0,8.2388,0.006,-0.006,52.62,0.0793,-0.0793,5413.7,132.8,-132.8,4.46,0.94
1012.01,APC,-2.99,0.202,-0.202,-0.029,0.106,-0.106,2459252.51,0.884182,1.621,0.035,-0.035,1890.0,311.366,-311.366,24.8132,112144.0,5098.0,8.12718,0.006,-0.006,295.959,11.315,-11.315,8928.0,128.7,-128.7,3.92,2.72
1013.01,FP,-3.973,0.063,-0.063,7.061,0.071,-0.071,2459232.248,5.4255548,3.9637474,0.0211401,-0.0211401,14939.63422,238.97354,-238.97354,,273.5880696,1037.275305,7.6095,0.006,-0.006,510.295,9.32,-9.32,8868.7,809.8,-809.8,,
